,0
code,code
url,url
creator,creator
created_t,created_t
created_datetime,created_datetime
last_modified_t,last_modified_t
last_modified_datetime,last_modified_datetime
last_modified_by,last_modified_by
last_updated_t,last_updated_t
last_updated_datetime,last_updated_datetime
product_name,product_name
abbreviated_product_name,abbreviated_product_name
generic_name,generic_name
quantity,quantity
packaging,packaging
packaging_tags,packaging_tags
packaging_en,packaging_en
packaging_text,packaging_text
brands,brands
brands_tags,brands_tags
categories,categories
categories_tags,categories_tags
categories_en,categories_en
origins,origins
origins_tags,origins_tags
origins_en,origins_en
manufacturing_places,manufacturing_places
manufacturing_places_tags,manufacturing_places_tags
labels,labels
labels_tags,labels_tags
labels_en,labels_en
emb_codes,emb_codes
emb_codes_tags,emb_codes_tags
first_packaging_code_geo,first_packaging_code_geo
cities,cities
cities_tags,cities_tags
purchase_places,purchase_places
stores,stores
countries,countries
countries_tags,countries_tags
countries_en,countries_en
ingredients_text,ingredients_text
ingredients_tags,ingredients_tags
ingredients_analysis_tags,ingredients_analysis_tags
allergens,allergens
allergens_en,allergens_en
traces,traces
traces_tags,traces_tags
traces_en,traces_en
serving_size,serving_size
serving_quantity,serving_quantity
no_nutrition_data,no_nutrition_data
additives_n,additives_n
additives,additives
additives_tags,additives_tags
additives_en,additives_en
nutriscore_score,nutriscore_score
nutriscore_grade,nutriscore_grade
nova_group,nova_group
pnns_groups_1,pnns_groups_1
pnns_groups_2,pnns_groups_2
food_groups,food_groups
food_groups_tags,food_groups_tags
food_groups_en,food_groups_en
states,states
states_tags,states_tags
states_en,states_en
brand_owner,brand_owner
ecoscore_score,ecoscore_score
ecoscore_grade,ecoscore_grade
nutrient_levels_tags,nutrient_levels_tags
product_quantity,product_quantity
owner,owner
data_quality_errors_tags,data_quality_errors_tags
unique_scans_n,unique_scans_n
popularity_tags,popularity_tags
completeness,completeness
last_image_t,last_image_t
last_image_datetime,last_image_datetime
main_category,main_category
main_category_en,main_category_en
image_url,image_url
image_small_url,image_small_url
image_ingredients_url,image_ingredients_url
image_ingredients_small_url,image_ingredients_small_url
image_nutrition_url,image_nutrition_url
image_nutrition_small_url,image_nutrition_small_url
energy-kj_100g,energy-kj_100g
energy-kcal_100g,energy-kcal_100g
energy_100g,energy_100g
energy-from-fat_100g,energy-from-fat_100g
fat_100g,fat_100g
saturated-fat_100g,saturated-fat_100g
butyric-acid_100g,butyric-acid_100g
caproic-acid_100g,caproic-acid_100g
caprylic-acid_100g,caprylic-acid_100g
capric-acid_100g,capric-acid_100g
lauric-acid_100g,lauric-acid_100g
myristic-acid_100g,myristic-acid_100g
palmitic-acid_100g,palmitic-acid_100g
stearic-acid_100g,stearic-acid_100g
arachidic-acid_100g,arachidic-acid_100g
behenic-acid_100g,behenic-acid_100g
lignoceric-acid_100g,lignoceric-acid_100g
cerotic-acid_100g,cerotic-acid_100g
montanic-acid_100g,montanic-acid_100g
melissic-acid_100g,melissic-acid_100g
unsaturated-fat_100g,unsaturated-fat_100g
monounsaturated-fat_100g,monounsaturated-fat_100g
omega-9-fat_100g,omega-9-fat_100g
polyunsaturated-fat_100g,polyunsaturated-fat_100g
omega-3-fat_100g,omega-3-fat_100g
omega-6-fat_100g,omega-6-fat_100g
alpha-linolenic-acid_100g,alpha-linolenic-acid_100g
eicosapentaenoic-acid_100g,eicosapentaenoic-acid_100g
docosahexaenoic-acid_100g,docosahexaenoic-acid_100g
linoleic-acid_100g,linoleic-acid_100g
arachidonic-acid_100g,arachidonic-acid_100g
gamma-linolenic-acid_100g,gamma-linolenic-acid_100g
dihomo-gamma-linolenic-acid_100g,dihomo-gamma-linolenic-acid_100g
oleic-acid_100g,oleic-acid_100g
elaidic-acid_100g,elaidic-acid_100g
gondoic-acid_100g,gondoic-acid_100g
mead-acid_100g,mead-acid_100g
erucic-acid_100g,erucic-acid_100g
nervonic-acid_100g,nervonic-acid_100g
trans-fat_100g,trans-fat_100g
cholesterol_100g,cholesterol_100g
carbohydrates_100g,carbohydrates_100g
sugars_100g,sugars_100g
added-sugars_100g,added-sugars_100g
sucrose_100g,sucrose_100g
glucose_100g,glucose_100g
fructose_100g,fructose_100g
lactose_100g,lactose_100g
maltose_100g,maltose_100g
maltodextrins_100g,maltodextrins_100g
starch_100g,starch_100g
polyols_100g,polyols_100g
erythritol_100g,erythritol_100g
fiber_100g,fiber_100g
soluble-fiber_100g,soluble-fiber_100g
insoluble-fiber_100g,insoluble-fiber_100g
proteins_100g,proteins_100g
casein_100g,casein_100g
serum-proteins_100g,serum-proteins_100g
nucleotides_100g,nucleotides_100g
salt_100g,salt_100g
added-salt_100g,added-salt_100g
sodium_100g,sodium_100g
alcohol_100g,alcohol_100g
vitamin-a_100g,vitamin-a_100g
beta-carotene_100g,beta-carotene_100g
vitamin-d_100g,vitamin-d_100g
vitamin-e_100g,vitamin-e_100g
vitamin-k_100g,vitamin-k_100g
vitamin-c_100g,vitamin-c_100g
vitamin-b1_100g,vitamin-b1_100g
vitamin-b2_100g,vitamin-b2_100g
vitamin-pp_100g,vitamin-pp_100g
vitamin-b6_100g,vitamin-b6_100g
vitamin-b9_100g,vitamin-b9_100g
folates_100g,folates_100g
vitamin-b12_100g,vitamin-b12_100g
biotin_100g,biotin_100g
pantothenic-acid_100g,pantothenic-acid_100g
silica_100g,silica_100g
bicarbonate_100g,bicarbonate_100g
potassium_100g,potassium_100g
chloride_100g,chloride_100g
calcium_100g,calcium_100g
phosphorus_100g,phosphorus_100g
iron_100g,iron_100g
magnesium_100g,magnesium_100g
zinc_100g,zinc_100g
copper_100g,copper_100g
manganese_100g,manganese_100g
fluoride_100g,fluoride_100g
selenium_100g,selenium_100g
chromium_100g,chromium_100g
molybdenum_100g,molybdenum_100g
iodine_100g,iodine_100g
caffeine_100g,caffeine_100g
taurine_100g,taurine_100g
ph_100g,ph_100g
fruits-vegetables-nuts_100g,fruits-vegetables-nuts_100g
fruits-vegetables-nuts-dried_100g,fruits-vegetables-nuts-dried_100g
fruits-vegetables-nuts-estimate_100g,fruits-vegetables-nuts-estimate_100g
fruits-vegetables-nuts-estimate-from-ingredients_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g
collagen-meat-protein-ratio_100g,collagen-meat-protein-ratio_100g
cocoa_100g,cocoa_100g
chlorophyl_100g,chlorophyl_100g
carbon-footprint_100g,carbon-footprint_100g
carbon-footprint-from-meat-or-fish_100g,carbon-footprint-from-meat-or-fish_100g
nutrition-score-fr_100g,nutrition-score-fr_100g
nutrition-score-uk_100g,nutrition-score-uk_100g
glycemic-index_100g,glycemic-index_100g
water-hardness_100g,water-hardness_100g
choline_100g,choline_100g
phylloquinone_100g,phylloquinone_100g
beta-glucan_100g,beta-glucan_100g
inositol_100g,inositol_100g
carnitine_100g,carnitine_100g
sulphate_100g,sulphate_100g
nitrate_100g,nitrate_100g
acidity_100g,acidity_100g
